tract_geoid,total_jobs,jobs_retail,jobs_healthcare,jobs_education,jobs_construction
24015030907,653,81,27,39,33
24015030908,5918,1343,104,33,76
24015031201,728,28,5,35,26
24015031202,2670,182,39,170,31
24015031301,245,37,18,36,26
24015031302,1432,432,53,82,120
24015031400,340,69,4,26,30
24017850101,378,147,22,0,62
24017850102,695,60,4,122,116
24017850201,138,0,69,43,0
24017850202,279,33,44,56,1
24017850300,223,17,12,116,17
24017850400,91,0,5,34,22
24017850500,204,4,59,0,69
24017850600,1536,43,9,973,14
24017850706,2093,734,18,241,25
24017850708,62,1,0,2,8
24017850709,2171,1007,70,11,24
24017850710,208,38,10,114,13
24017850711,869,255,0,63,0
24017850712,114,0,58,0,33
24017850713,329,4,17,271,6
24017850801,70,1,4,0,10
24017850802,3332,1202,162,167,227
24017850901,5112,592,359,293,696
24017850902,1680,117,59,117,580
24017850904,515,8,18,127,90
24017850905,303,0,277,0,5
24017850906,527,176,14,150,5
24017851001,1827,91,51,11,185
24017851003,532,44,19,149,41
24017851004,5685,1199,498,1126,106
24017851100,247,27,13,0,37
24017851200,426,42,13,89,80
24017851301,212,2,15,0,91
24017851302,919,20,26,57,69
24017851401,255,0,20,0,32
24017851402,277,39,19,6,60
24017851403,170,5,2,46,80
24017851501,1325,820,27,0,9
24017851502,1301,80,80,95,334
24019970100,211,9,2,16,80
24019970200,2925,264,10,53,55
24019970300,534,24,46,122,66
24019970400,3930,301,82,0,116
24019970500,770,41,2,220,18
24019970600,1639,45,5,280,53
24019970702,1431,395,37,69,94
24019970804,220,49,1,4,15
24019970900,125,28,1,14,16
24021740200,1559,125,67,360,81
24021750100,341,15,139,11,30
24021750200,7291,366,677,1146,41
24021750300,619,2,74,13,15
24021750504,1881,538,45,1,26
24021750505,1016,244,28,164,7
24021750506,1077,252,7,181,22
24021750507,1008,439,15,251,76
24021750508,334,216,5,0,1
24021750600,4888,21,98,833,36
24021750701,4945,145,265,1131,502
24021750702,845,204,69,48,5
24021750801,2626,156,49,370,21
24021750802,2009,943,160,3,10
24021750804,1157,54,23,123,200
24021750805,1351,165,13,76,143
24021751001,23,0,14,0,0
24021751002,379,0,10,180,3
24021751003,17602,3796,3248,159,1811
24021751004,1404,142,22,270,390
24021751201,3492,5,1966,909,69
24021751202,1107,118,193,165,26
24021751203,193,11,29,0,71
24021751301,660,14,12,73,163
24021751302,558,171,20,38,166
24021751600,174,19,5,0,84
24021751701,2869,261,863,27,173
24021751702,555,37,16,45,108
24021751801,1307,241,133,154,90
24021751802,407,0,42,114,120
24021751902,905,131,97,263,85
24021751903,1278,500,83,2,350
24021751904,390,0,17,138,64
24021751905,102,2,6,26,22
24021751906,257,2,13,77,20
24021752001,1416,173,70,80,670
24021752101,198,15,19,50,28
24021752102,1897,58,309,98,857
24021752201,327,13,6,0,33
24021752202,293,16,89,15,29
24021752205,427,15,43,233,47
24021752206,2036,206,69,68,118
24021752301,3304,202,246,174,253
24021752302,1915,134,498,179,233
24021752303,1360,27,113,0,344
24021752501,602,50,18,58,101
24021752502,238,11,56,1,46
24021752601,1169,122,75,432,99
24021752602,234,27,14,12,30
24021752603,202,53,32,3,8
24021752801,111,40,8,7,42
24021752802,525,27,43,76,62
24021752900,716,0,9,15,77
24021753001,1474,280,16,120,130
