w_geocode,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,SE01,SE02,SE03,tract_geoid,fips_code
240010011002008,24,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,9,0,0,0,0,11,3,10,24001001100,24001
240010011002011,6,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,3,1,24001001100,24001
240010011002012,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,24001001100,24001
240010011002013,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,5,2,24001001100,24001
240010011002014,31,0,0,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,0,2,14,15,24001001100,24001
240010011002015,5,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,4,1,0,24001001100,24001
240010011002016,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,2,0,8,8,3,24001001100,24001
240010011002017,502,0,0,0,0,0,0,0,0,0,0,0,7,0,0,495,0,0,0,0,0,79,130,293,24001001100,24001
240010011002020,48,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,11,29,8,24001001100,24001
240010011002021,27,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,0,0,0,0,5,16,6,24001001100,24001
240010011002022,11,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,3,5,3,24001001100,24001
240010011002023,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,24001001100,24001
240010011002025,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,3,24001001100,24001
240010011002026,76,0,0,0,0,0,0,0,0,0,18,0,8,0,0,0,48,0,2,0,0,25,21,30,24001001100,24001
