tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24021751201,24021,6108,2574,0.9371112646855563
24021751202,24021,6548,3223,0.9866096866096866
24021751203,24021,2241,861,1.0
24021751301,24021,5294,2117,0.9933931099575272
24021751302,24021,3238,1589,0.9958544449562413
24021751600,24021,3082,1278,1.0
24021751701,24021,2775,1147,0.9904200442151806
24021751702,24021,3948,1820,0.996244131455399
24021751801,24021,5055,2459,1.0
24021751802,24021,3991,1935,1.0
24021751902,24021,5691,2859,0.9807365439093484
24021751903,24021,7474,3388,1.0
24021751904,24021,4376,2097,0.9889058913542463
24021751905,24021,3498,1853,0.9823053589484327
24021751906,24021,2274,887,1.0
24021752001,24021,5024,2298,1.0
24021752101,24021,3559,1493,1.0
24021752102,24021,6905,3224,0.9892954941498631
24021752201,24021,2252,1008,0.9800498753117207
24021752202,24021,4016,1924,0.9898887765419616
24021752205,24021,4012,1938,0.9908697741470447
24021752206,24021,6065,2869,0.9811042220253912
24021752301,24021,6755,3567,0.9914131501472031
24021752302,24021,4400,1937,0.9530364372469635
24021752303,24021,3408,1766,1.0
24021752501,24021,5474,2359,1.0
24021752502,24021,2727,1206,1.0
24021752601,24021,4400,1728,0.9966485127775451
24021752602,24021,2332,1002,1.0
24021752603,24021,4548,2036,0.9967243799719232
24021752801,24021,2112,972,0.99687255668491
24021752802,24021,3848,1804,0.9970916141541445
24021752900,24021,3295,1394,1.0
24021753001,24021,4878,2229,0.9970961887477314
24021753002,24021,2482,1208,0.9916918429003021
24021765100,24021,4673,2107,1.0
24021766800,24021,5568,1633,0.9831712789827973
24021767500,24021,2561,860,1.0
24021767600,24021,3377,1510,1.0
24021770700,24021,3846,1557,0.992626728110599
24021772200,24021,1713,882,1.0
24021773500,24021,4403,1985,1.0
24021775302,24021,5748,2772,0.997459510955859
24021775400,24021,3831,1920,1.0
24021775600,24021,5176,2753,0.9933543196922001
24023000100,24023,3722,1743,1.0
24023000200,24023,4028,1552,1.0
24023000300,24023,2620,1259,1.0
24023000400,24023,2634,1099,1.0
24023000501,24023,1759,620,1.0
24023000502,24023,2922,1283,1.0
24023000601,24023,3933,1730,0.9957671957671957
24023000602,24023,1592,705,1.0
24023000700,24023,5646,2296,1.0
24025301102,24025,3567,1430,1.0
24025301105,24025,3686,1623,0.9954081632653061
24025301106,24025,4771,2268,0.9856573705179282
24025301107,24025,3649,1920,0.984641638225256
24025301108,24025,4142,1980,0.9944979367262724
24025301201,24025,1834,849,1.0
24025301202,24025,7867,3777,0.9955419990614734
24025301204,24025,4204,2382,0.9985315712187959
24025301205,24025,4179,2505,1.0
24025301301,24025,4860,2447,0.9937960449786739
24025301302,24025,7919,3772,1.0
24025301401,24025,7668,3843,0.9885228480340064
24025301402,24025,2533,1221,1.0
24025301601,24025,6176,3017,1.0
24025301602,24025,8210,3805,1.0
24025301703,24025,5450,3008,0.9953038674033149
24025301704,24025,3141,1514,1.0
24025301705,24025,2327,1402,1.0
24025301706,24025,3180,1679,1.0
24025301707,24025,4213,1856,0.9850200949945196
24025302100,24025,2278,919,1.0
24025302200,24025,3228,1671,0.9785932721712538
24025302400,24025,4384,2189,0.9953959484346224
24025302801,24025,3381,1327,0.9964136282127914
24025302802,24025,4886,2049,0.9756862745098039
24025302901,24025,2667,1185,1.0
24025302902,24025,4650,2131,0.9660531697341513
24025303101,24025,6431,2980,0.9950810185185185
24025303102,24025,2699,1132,0.9752727272727273
24025303201,24025,5752,2479,1.0
24025303203,24025,3197,1175,0.9960835509138382
24025303204,24025,4695,2224,0.9926977687626775
24025303205,24025,2036,816,1.0
24025303206,24025,3788,1695,1.0
24025303300,24025,6537,2858,1.0
